商品名称,商品详细分类,商品分类价格
精密级行星减速机 PF60伺服电机齿轮箱减速器 57 86 110减速步进,"['PF60-L1-5-S-P2特价', 'PF60-L1-10-S-P2特价', 'PF60一级3-10比', 'PF60二级12-50比(含70比）', 'PF60三级80-500比（含60比）', 'PF90一级3-10比', 'PF90二级12-50比（含70比）', 'PF90三级80-500比（含60比）', 'PF120一级3-10比', 'PF120二级12-50比（含70比）', 'PF120三级80-500比（含60比）', 'PF160一级3-10比', 'PF160二级12-50比（含70比）', 'PF160三级80-500比（含60比）', '定制品']","['¥287.00', '¥287.00', '¥355.00', '¥520.00', '¥876.00', '¥561.00', '¥698.00', '¥1276.00', '¥1031.00', '¥1333.00', '¥2033.00', '¥2188.00', '¥2644.00', '¥3889.00', '¥100.00']"
KSB60精密斜齿齿轮行星减速机180/400/750W伺服电机减速器1.5/3KW,"['KSB042(一级速比3~10)', 'KSB060(一级速比3~10)', 'KSB090(一级速比3~10)', 'KSB115(一级速比3~10)', 'KSB142(一级速比3~10)', 'KSB180(一级速比3~10)']","['¥980.00', '¥1047.00', '¥1437.00', '¥2100.00', '¥3600.00', '¥5600.00']"
精密行星减速机42/57/86/110步进电机40/60/80/120伺服电机减速器,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['¥75.00', '¥162.50', '¥218.75', '¥262.50', '¥162.50', '¥218.75', '¥262.50', '¥206.25', '¥250.00', '¥293.75', '¥206.25', '¥250.00', '¥293.75', '¥206.25', '¥250.00', '¥293.75', '¥287.50', '¥368.75', '¥425.00', '¥287.50', '¥368.75', '¥425.00', '¥387.50', '¥493.75', '¥550.00', '¥387.50', '¥493.75', '¥550.00', '¥300.00', '¥375.00', '¥475.00', '¥300.00', '¥375.00', '¥475.00', '¥362.50', '¥512.50', '¥625.00', '¥362.50', '¥512.00', '¥625.00', '¥787.50', '¥937.50', '¥1100.00', '¥787.50', '¥937.50', '¥1100.00', '¥787.50', '¥937.50', '¥1100.00', '¥787.50', '¥937.50', '¥1100.00']"
42步进电机减速器 精密行星齿轮减速箱 36MM行星电机减速齿轮箱,"['减速比1：3.7', '减速比1：13.7', '减速比1：19.2', '减速比1：51', '减速比1：71', '减速比1：99.5', '减速比1：188.6', '减速比1：263.7', '减速比1：368.7', '减速比1：515.6']","['¥30.00-50.00', '¥30.00-50.00', '¥30.00-50.00', '¥30.00-50.00', '¥30.00-50.00', '¥30.00-50.00', '¥30.00-50.00', '¥30.00-50.00', '¥30.00-50.00', '¥30.00-50.00']"
20-180行星减速电机12v小体积大扭力模型车无人机全金属精密齿轮,"['每分钟1818转', '每分钟1481转', '每分钟421转', '每分钟333转', '每分钟276转', '每分钟95转', '每分钟51转', '每分钟22转', '每分钟14转', '每分钟9转']","['¥45.00', '¥45.00', '¥45.00', '¥45.00', '¥45.00', '¥45.00', '¥45.00', '¥45.00', '¥45.00', '¥45.00']"
精密行星减速机齿轮60 80 90 86步进电机减速器400w 750w伺服电机,"['WLF30 速比3-10', 'WLF30 速比12-70']","['¥78.00', '¥88.00']"
20/28/35/42/57行星减速步进电机套装两相微小型马达控制器驱动器,"['定制专拍', '一体式微型驱动器', '四级速比请留言']","['¥360.00-1300.00', '¥360.00-1300.00', '¥360.00-1300.00']"
高精密行星减速机PLF42400750w伺服电机5786步进减速器齿轮减速箱,"['ALF42(4比到10比)', 'ALF42(16比到50比)', 'ALF60(3比到10比)', 'ALF60(12比到70比)', 'ALF60(80比到1000比)', 'ALF80(3比到10比)', 'ALF80(12比到70比)', 'ALF80(80比到1000比)', 'ALF90(3比到10比)', 'ALF90(12比到70比)', 'ALF90(80比到1000比)', 'ALF120(3比到10比)', 'ALF120(12比到70比)', 'ALF120(80比到1000比)']","['¥500.00', '¥700.00', '¥800.00', '¥1000.00', '¥1200.00', '¥1400.00', '¥1600.00', '¥1200.00', '¥1400.00', '¥1800.00', '¥2000.00', '¥1600.00', '¥1800.00', '¥2000.00']"
精密行星齿轮减速机60 80 90 86步进电机减速器400w 750w伺服电机,"['', '', '', '', '', '', '', '', '', '']","['¥620.00', '¥820.00', '¥420.00', '¥620.00', '¥560.00', '¥760.00', '¥580.00', '¥780.00', '¥1100.00', '¥1440.00']"
直角行星减速器机/可配57/86步进电机/60伺服替代涡轮无刷直流交,"['PXW直角90度行星57步进一级', 'PXW直角90度行星57步进二级', 'PXW直角90度行星57步进三级', 'PXW直角90度行星60伺服一级', 'PXW直角90度行星60伺服二级', 'PXW直角90度行星60伺服三级', 'PXW直角90度行星80伺服一级', 'PXW直角90度行星80伺服二级', 'PXW直角90度行星80伺服三级', 'PXW直角90度行星86步进一级', 'PXW直角90度行星86步进二级', 'PXW直角90度行星86步进三级', 'PXW直角90度110步进/伺服一级', 'PXW直角90度110步进/伺服二级', 'PXW直角90度110步进/伺服三级', 'PXW直角90度130步进/伺服一级', 'PXW直角90度130步进/伺服二级', 'PXW直角90度130步进/伺服三级', '需要输入同输出尺寸的请备注']","['¥280.00', '¥340.00', '¥390.00', '¥280.00', '¥340.00', '¥390.00', '¥340.00', '¥390.00', '¥440.00', '¥340.00', '¥390.00', '¥440.00', '¥690.00', '¥740.00', '¥790.00', '¥800.00', '¥850.00', '¥900.00', '¥850.00']"
